grant_id,plan_id,emp_id,participant_group,grant_type,award_type,grant_date,shares_granted,psu_max_multiplier,psu_share_basis,stock_price_at_grant_usd,strike_price_usd,grant_date_fv_per_share_usd,vest_start_date,vest_months_total,cliff_months,vest_frequency,performance_period_end
G-005988,P-2022,E-0588,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005989,P-2022,E-0589,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005990,P-2022,E-0590,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005991,P-2022,E-0591,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005992,P-2022,E-0594,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005993,P-2022,E-0595,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005994,P-2022,E-0596,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005995,P-2022,E-0597,staff,annual_refresh,rsu,2026-02-15,127,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005996,P-2022,E-0598,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005997,P-2022,E-0599,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005998,P-2022,E-0600,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-005999,P-2022,E-0601,management,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006000,P-2022,E-0602,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006001,P-2022,E-0603,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006002,P-2022,E-0605,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006003,P-2022,E-0606,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006004,P-2022,E-0607,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006005,P-2022,E-0608,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006006,P-2022,E-0610,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006007,P-2022,E-0611,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006008,P-2022,E-0612,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006009,P-2022,E-0614,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006010,P-2022,E-0615,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006011,P-2022,E-0616,management,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006012,P-2022,E-0617,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006013,P-2022,E-0618,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006014,P-2022,E-0619,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006015,P-2022,E-0620,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006016,P-2022,E-0621,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006017,P-2022,E-0622,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006018,P-2022,E-0623,section16,annual_refresh,rsu,2026-02-15,3991,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006019,P-2022,E-0624,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006020,P-2022,E-0625,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006021,P-2022,E-0626,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006022,P-2022,E-0627,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006023,P-2022,E-0628,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006024,P-2022,E-0629,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006025,P-2022,E-0630,section16,annual_refresh,rsu,2026-02-15,3991,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006026,P-2022,E-0631,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006027,P-2022,E-0632,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006028,P-2022,E-0633,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006029,P-2022,E-0634,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006030,P-2022,E-0636,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006031,P-2022,E-0639,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006032,P-2022,E-0640,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006033,P-2022,E-0642,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006034,P-2022,E-0643,staff,annual_refresh,rsu,2026-02-15,763,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006035,P-2022,E-0645,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006036,P-2022,E-0646,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006037,P-2022,E-0647,staff,annual_refresh,rsu,2026-02-15,3991,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006038,P-2022,E-0649,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006039,P-2022,E-0650,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006040,P-2022,E-0651,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006041,P-2022,E-0652,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006042,P-2022,E-0656,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006043,P-2022,E-0657,section16,annual_refresh,rsu,2026-02-15,3991,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006044,P-2022,E-0658,section16,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006045,P-2022,E-0659,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006046,P-2022,E-0660,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006047,P-2022,E-0661,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006048,P-2022,E-0662,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006049,P-2022,E-0663,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006050,P-2022,E-0664,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006051,P-2022,E-0665,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006052,P-2022,E-0666,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006053,P-2022,E-0667,management,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006054,P-2022,E-0668,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006055,P-2022,E-0670,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006056,P-2022,E-0671,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006057,P-2022,E-0672,staff,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006058,P-2022,E-0674,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006059,P-2022,E-0675,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006060,P-2022,E-0676,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006061,P-2022,E-0677,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006062,P-2022,E-0678,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006063,P-2022,E-0679,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006064,P-2022,E-0680,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006065,P-2022,E-0681,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006066,P-2022,E-0682,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006067,P-2022,E-0683,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006068,P-2022,E-0684,management,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006069,P-2022,E-0685,staff,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006070,P-2022,E-0686,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006071,P-2022,E-0687,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006072,P-2022,E-0688,staff,annual_refresh,rsu,2026-02-15,2700,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006073,P-2022,E-0689,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006074,P-2022,E-0691,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006075,P-2022,E-0692,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006076,P-2022,E-0693,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006077,P-2022,E-0694,staff,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006078,P-2022,E-0695,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006079,P-2022,E-0696,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006080,P-2022,E-0697,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006081,P-2022,E-0698,staff,annual_refresh,rsu,2026-02-15,763,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006082,P-2022,E-0699,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006083,P-2022,E-0702,staff,annual_refresh,rsu,2026-02-15,763,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006084,P-2022,E-0703,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006085,P-2022,E-0706,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006086,P-2022,E-0707,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006087,P-2022,E-0708,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006088,P-2022,E-0709,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006089,P-2022,E-0712,staff,annual_refresh,rsu,2026-02-15,1350,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006090,P-2022,E-0713,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006091,P-2022,E-0714,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006092,P-2022,E-0715,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006093,P-2022,E-0718,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006094,P-2022,E-0720,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006095,P-2022,E-0721,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006096,P-2022,E-0722,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006097,P-2022,E-0723,management,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006098,P-2022,E-0724,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006099,P-2022,E-0726,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006100,P-2022,E-0728,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006101,P-2022,E-0729,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006102,P-2022,E-0730,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006103,P-2022,E-0731,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006104,P-2022,E-0734,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006105,P-2022,E-0735,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006106,P-2022,E-0736,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006107,P-2022,E-0738,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006108,P-2022,E-0739,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006109,P-2022,E-0740,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006110,P-2022,E-0741,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006111,P-2022,E-0742,staff,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006112,P-2022,E-0743,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006113,P-2022,E-0744,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006114,P-2022,E-0745,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006115,P-2022,E-0746,management,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006116,P-2022,E-0747,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006117,P-2022,E-0748,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006118,P-2022,E-0749,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006119,P-2022,E-0750,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006120,P-2022,E-0751,management,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006121,P-2022,E-0753,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006122,P-2022,E-0754,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006123,P-2022,E-0755,staff,annual_refresh,rsu,2026-02-15,1350,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006124,P-2022,E-0756,staff,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006125,P-2022,E-0757,management,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006126,P-2022,E-0758,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006127,P-2022,E-0759,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006128,P-2022,E-0760,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006129,P-2022,E-0761,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006130,P-2022,E-0764,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006131,P-2022,E-0766,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006132,P-2022,E-0767,staff,annual_refresh,rsu,2026-02-15,763,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006133,P-2022,E-0768,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006134,P-2022,E-0769,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006135,P-2022,E-0770,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006136,P-2022,E-0771,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006137,P-2022,E-0772,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006138,P-2022,E-0773,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006139,P-2022,E-0774,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006140,P-2022,E-0776,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006141,P-2022,E-0778,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006142,P-2022,E-0779,staff,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006143,P-2022,E-0780,staff,annual_refresh,rsu,2026-02-15,1350,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006144,P-2022,E-0784,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006145,P-2022,E-0786,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006146,P-2022,E-0787,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006147,P-2022,E-0790,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006148,P-2022,E-0791,management,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006149,P-2022,E-0793,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006150,P-2022,E-0794,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006151,P-2022,E-0795,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006152,P-2022,E-0796,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006153,P-2022,E-0798,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006154,P-2022,E-0799,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006155,P-2022,E-0800,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006156,P-2022,E-0801,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006157,P-2022,E-0802,staff,annual_refresh,rsu,2026-02-15,563,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006158,P-2022,E-0803,management,annual_refresh,rsu,2026-02-15,939,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006159,P-2022,E-0805,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006160,P-2022,E-0806,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006161,P-2022,E-0807,staff,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006162,P-2022,E-0808,staff,annual_refresh,rsu,2026-02-15,3991,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006163,P-2022,E-0810,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006164,P-2022,E-0811,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006165,P-2022,E-0812,staff,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006166,P-2022,E-0817,staff,annual_refresh,rsu,2026-02-15,469,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006167,P-2022,E-0818,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006168,P-2022,E-0819,staff,annual_refresh,rsu,2026-02-15,2817,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006169,P-2022,E-0820,management,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006170,P-2022,E-0821,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006171,P-2022,E-0822,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006172,P-2022,E-0823,staff,annual_refresh,rsu,2026-02-15,3991,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006173,P-2022,E-0824,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006174,P-2022,E-0825,staff,annual_refresh,rsu,2026-02-15,646,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006175,P-2022,E-0826,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006176,P-2022,E-0827,staff,annual_refresh,rsu,2026-02-15,329,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006177,P-2022,E-0829,management,annual_refresh,rsu,2026-02-15,1878,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006178,P-2022,E-0830,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006179,P-2022,E-0832,management,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006180,P-2022,E-0833,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006181,P-2022,E-0834,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006182,P-2022,E-0836,staff,annual_refresh,rsu,2026-02-15,164,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006183,P-2022,E-0837,staff,annual_refresh,rsu,2026-02-15,352,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006184,P-2022,E-0838,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006185,P-2022,E-0839,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006186,P-2022,E-0841,management,annual_refresh,rsu,2026-02-15,1291,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006187,P-2022,E-0843,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006188,P-2022,E-0844,staff,annual_refresh,rsu,2026-02-15,763,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006189,P-2022,E-0845,staff,annual_refresh,rsu,2026-02-15,211,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
G-006190,P-2022,E-0847,staff,annual_refresh,rsu,2026-02-15,528,1.0,,85.2,,85.2,2026-02-15,48,12,monthly,
